nuclide TEXT;organism TEXT;value REAL
S;Mollusc - gastropod;2.4E+02
S;Insect larvae;2.4E+02
S;Mammal;2.4E+02
S;Pelagic fish;2.4E+02
S;Phytoplankton;2.0E+02
S;Vascular plant;2.0E+02
S;Zooplankton;2.4E+02
S;Reptile;2.4E+02
Sb;Amphibian;2.3E+03
Sb;Benthic fish;3.4E+01
Sb;Bird;2.3E+03
Sb;Mollusc - bivalve;4.9E+01
Sb;Crustacean;1.7E+02
Sb;Mollusc - gastropod;4.9E+01
Sb;Insect larvae;8.2E+01
Sb;Mammal;2.3E+03
Sb;Pelagic fish;3.4E+01
Sb;Phytoplankton;8.3E+01
Sb;Vascular plant;3.6E+01
Sb;Zooplankton;8.2E+01
Sb;Reptile;2.3E+03
Se;Amphibian;2.7E+03
Se;Benthic fish;2.7E+03
Se;Bird;6.9E+00
Se;Mollusc - bivalve;3.3E+03
Se;Crustacean;4.4E+02
Se;Mollusc - gastropod;3.3E+03
Se;Insect larvae;3.2E+03
Se;Mammal;2.7E+03
Se;Pelagic fish;2.7E+03
Se;Phytoplankton;1.8E+01
Se;Vascular plant;2.2E+02
Se;Zooplankton;5.4E+03
Se;Reptile;2.7E+03
Sr;Amphibian;1.2E+04
Sr;Benthic fish;8.6E+02
Sr;Bird;7.3E+03
Sr;Mollusc - bivalve;4.6E+02
Sr;Crustacean;8.4E+02
Sr;Mollusc - gastropod;4.6E+02
Sr;Insect larvae;3.7E+03
Sr;Mammal;1.2E+04
Sr;Pelagic fish;8.6E+02
Sr;Phytoplankton;1.2E+02
Sr;Vascular plant;1.8E+02
Sr;Zooplankton;3.7E+03
Sr;Reptile;1.2E+04
Tc;Amphibian;9.9E+01
Tc;Benthic fish;9.9E+01
Tc;Bird;9.9E+01
Tc;Mollusc - bivalve;9.9E+01
Tc;Crustacean;9.9E+01
Tc;Mollusc - gastropod;9.9E+01
Tc;Insect larvae;9.9E+01
Tc;Mammal;9.9E+01
Tc;Pelagic fish;9.9E+01
Tc;Phytoplankton;4.0E+01
Tc;Vascular plant;4.0E+01
Tc;Zooplankton;9.9E+01
Tc;Reptile;9.9E+01
Te;Amphibian;2.7E+03
Te;Benthic fish;3.3E+02
Te;Bird;2.7E+03
Te;Mollusc - bivalve;3.3E+03
Te;Crustacean;4.4E+02
Te;Mollusc - gastropod;3.3E+03
Te;Insect larvae;3.2E+03
Te;Mammal;2.7E+03
Te;Pelagic fish;3.3E+02
Te;Phytoplankton;1.8E+01
Te;Vascular plant;1.8E+01
Te;Zooplankton;5.4E+03
Te;Reptile;2.7E+03
Th;Amphibian;3.2E+03
Th;Benthic fish;7.1E+02
Th;Bird;3.2E+03
Th;Mollusc - bivalve;1.0E+04
Th;Crustacean;6.0E+02
Th;Mollusc - gastropod;1.0E+04
Th;Insect larvae;2.5E+03
Th;Mammal;3.2E+03
Th;Pelagic fish;7.1E+02
Th;Phytoplankton;1.2E+04
Th;Vascular plant;9.8E+04
Th;Zooplankton;5.4E+02
Th;Reptile;1.0E+03
U;Amphibian;1.2E+02
U;Benthic fish;7.2E+01
U;Bird;5.3E+01
U;Mollusc - bivalve;5.6E+02
U;Crustacean;2.0E+02
U;Mollusc - gastropod;5.6E+02
U;Insect larvae;2.0E+02
U;Mammal;1.2E+02
U;Pelagic fish;7.2E+01
U;Phytoplankton;7.1E+01
U;Vascular plant;3.7E+02
U;Zooplankton;2.0E+02
U;Reptile;1.2E+02
Zn;Amphibian;7.3E+02
Zn;Benthic fish;7.8E+03
Zn;Bird;1.5E+03
Zn;Mollusc - bivalve;7.4E+02
Zn;Crustacean;2.0E+04
Zn;Mollusc - gastropod;7.4E+02
Zn;Insect larvae;2.0E+04
Zn;Mammal;1.6E+03
Zn;Pelagic fish;7.8E+03
Zn;Phytoplankton;4.4E+03
Zn;Vascular plant;5.8E+02
Zn;Zooplankton;2.0E+04
Zn;Reptile;2.3E+04
Zr;Amphibian;1.2E+03
Zr;Benthic fish;9.3E+02
Zr;Bird;3.0E+01
Zr;Mollusc - bivalve;9.6E+02
Zr;Crustacean;9.6E+02
Zr;Mollusc - gastropod;9.6E+02
Zr;Insect larvae;9.6E+02
Zr;Mammal;1.2E+03
Zr;Pelagic fish;9.3E+02
Zr;Phytoplankton;1.7E+03
Zr;Vascular plant;9.9E+01
Zr;Zooplankton;9.6E+02
Zr;Reptile;1.2E+03
